Energy	Th_initial	
0.025715591	0.154293050	0.003085861000000
0.025721537	0.154275220	0.003085504400000
0.025727483	0.154257390	0.003085147800000
0.025733326	0.154239880	0.003084797600000
0.025739271	0.154222060	0.003084441200000
0.025745217	0.154204250	0.003084085000000
0.025751162	0.154186450	0.003083729000000
0.025757108	0.154168650	0.003083373000000
0.025763053	0.154150860	0.003083017200000
0.025769000	0.154133080	0.003082661600000
0.025774842	0.154115610	0.003082312200000
0.025780788	0.154097840	0.003081956800000
0.025786733	0.154080070	0.003081601400000
0.025792679	0.154062310	0.003081246200000
0.025798624	0.154044560	0.003080891200000
0.025804570	0.154026810	0.003080536200000
0.025810516	0.154009070	0.003080181400000
0.025816463	0.153991330	0.003079826600000
0.025822409	0.153973600	0.003079472000000
0.025828354	0.153955880	0.003079117600000
0.025834300	0.153938160	0.003078763200000
0.025840245	0.153920450	0.003078409000000
0.025846191	0.153902750	0.003078055000000
0.025852137	0.153885050	0.003077701000000
0.025858084	0.153867350	0.003077347000000
0.025864029	0.153849670	0.003076993400000
0.025869975	0.153831990	0.003076639800000
0.025875920	0.153814310	0.003076286200000
0.025881970	0.153796330	0.003075926600000
0.025887916	0.153778670	0.003075573400000
0.025893862	0.153761020	0.003075220400000
0.025899809	0.153743360	0.003074867200000
0.025905754	0.153725720	0.003074514400000
0.025911804	0.153707770	0.003074155400000
0.025917750	0.153690140	0.003073802800000
0.025923695	0.153672520	0.003073450400000
0.025929641	0.153654900	0.003073098000000
0.025935588	0.153637280	0.003072745600000
0.025941638	0.153619360	0.003072387200000
0.025947584	0.153601760	0.003072035200000
0.025953529	0.153584170	0.003071683400000
0.025959579	0.153566270	0.003071325400000
0.025965525	0.153548690	0.003070973800000
0.025971470	0.153531110	0.003070622200000
0.025977521	0.153513230	0.003070264600000
0.025983468	0.153495670	0.003069913400000
0.025989413	0.153478110	0.003069562200000
0.025995463	0.153460250	0.003069205000000
0.026001409	0.153442700	0.003068854000000
0.026007354	0.153425160	0.003068503200000
0.026013404	0.153407320	0.003068146400000
0.026019351	0.153389790	0.003067795800000
0.026025297	0.153372260	0.003067445200000
0.026031347	0.153354440	0.003067088800000
0.026037397	0.153336620	0.003066732400000
0.026043342	0.153319120	0.003066382400000
0.026049288	0.153301620	0.003066032400000
0.026055338	0.153283830	0.003065676600000
0.026061389	0.153266030	0.003065320600000
0.026067335	0.153248550	0.003064971000000
0.026073281	0.153231070	0.003064621400000
0.026079331	0.153213300	0.003064266000000
0.026085381	0.153195530	0.003063910600000
0.026091430	0.153177770	0.003063555400000
0.026097376	0.153160320	0.003063206400000
0.026103322	0.153142880	0.003062857600000
0.026109373	0.153125130	0.003062502600000
0.026115423	0.153107390	0.003062147800000
0.026121473	0.153089660	0.003061793200000
0.026127523	0.153071940	0.003061438800000
0.026133468	0.153054520	0.003061090400000
0.026139414	0.153037120	0.003060742400000
0.026145465	0.153019410	0.003060388200000
0.026151516	0.153001710	0.003060034200000
0.026157565	0.152984010	0.003059680200000
0.026163615	0.152966320	0.003059326400000
0.026169665	0.152948640	0.003058972800000
0.026175611	0.152931270	0.003058625400000
0.026181556	0.152913900	0.003058278000000
0.026187607	0.152896240	0.003057924800000
0.026193658	0.152878580	0.003057571600000
0.026199708	0.152860930	0.003057218600000
0.026205758	0.152843280	0.003056865600000
0.026211808	0.152825640	0.003056512800000
0.026217857	0.152808010	0.003056160200000
0.026223907	0.152790380	0.003055807600000
0.026229958	0.152772760	0.003055455200000
0.026236009	0.152755140	0.003055102800000
0.026242059	0.152737530	0.003054750600000
0.026248109	0.152719930	0.003054398600000
0.026254159	0.152702330	0.003054046600000
0.026260208	0.152684740	0.003053694800000
0.026266258	0.152667160	0.003053343200000
0.026272309	0.152649580	0.003052991600000
0.026278360	0.152632000	0.003052640000000
0.026284410	0.152614430	0.003052288600000
0.026290460	0.152596870	0.003051937400000
0.026296509	0.152579320	0.003051586400000
0.026302559	0.152561770	0.003051235400000
0.026308609	0.152544230	0.003050884600000
0.026314660	0.152526690	0.003050533800000
0.026320711	0.152509160	0.003050183200000
0.026326761	0.152491640	0.003049832800000
0.026332811	0.152474120	0.003049482400000
0.026338860	0.152456610	0.003049132200000
0.026344910	0.152439100	0.003048782000000
0.026350960	0.152421600	0.003048432000000
0.026357011	0.152404100	0.003048082000000
0.026363062	0.152386610	0.003047732200000
0.026369112	0.152369130	0.003047382600000
0.026375266	0.152351350	0.003047027000000
0.026381420	0.152333580	0.003046671600000
0.026387470	0.152316120	0.003046322400000
0.026393520	0.152298660	0.003045973200000
0.026399571	0.152281210	0.003045624200000
0.026405621	0.152263760	0.003045275200000
0.026411671	0.152246320	0.003044926400000
0.026417721	0.152228890	0.003044577800000
0.026423875	0.152211160	0.003044223200000
0.026430029	0.152193440	0.003043868800000
0.026436079	0.152176020	0.003043520400000
0.026442130	0.152158610	0.003043172200000
0.026448181	0.152141210	0.003042824200000
0.026454335	0.152123510	0.003042470200000
0.026460489	0.152105820	0.003042116400000
0.026466539	0.152088430	0.003041768600000
0.026472589	0.152071050	0.003041421000000
0.026478639	0.152053680	0.003041073600000
0.026484794	0.152036010	0.003040720200000
0.026490949	0.152018350	0.003040367000000
0.026496999	0.152000990	0.003040019800000
0.026503049	0.151983640	0.003039672800000
0.026509203	0.151966000	0.003039320000000
0.026515357	0.151948360	0.003038967200000
0.026521407	0.151931030	0.003038620600000
0.026527458	0.151913700	0.003038274000000
0.026533613	0.151896080	0.003037921600000
0.026539767	0.151878470	0.003037569400000
0.026545817	0.151861160	0.003037223200000
0.026551971	0.151843560	0.003036871200000
0.026558125	0.151825970	0.003036519400000
0.026564175	0.151808680	0.003036173600000
0.026570330	0.151791100	0.003035822000000
0.026576486	0.151773520	0.003035470400000
0.026582535	0.151756250	0.003035125000000
0.026588690	0.151738680	0.003034773600000
0.026594844	0.151721130	0.003034422600000
0.026600894	0.151703870	0.003034077400000
0.026607048	0.151686330	0.003033726600000
0.026613203	0.151668790	0.003033375800000
0.026619254	0.151651550	0.003033031000000
0.026625408	0.151634020	0.003032680400000
0.026631562	0.151616500	0.003032330000000
0.026637716	0.151598990	0.003031979800000
0.026643870	0.151581480	0.003031629600000
0.026649920	0.151564270	0.003031285400000
0.026656075	0.151546770	0.003030935400000
0.026662231	0.151529280	0.003030585600000
0.026668385	0.151511790	0.003030235800000
0.026674539	0.151494320	0.003029886400000
0.026680693	0.151476840	0.003029536800000
0.026686847	0.151459380	0.003029187600000
0.026693002	0.151441910	0.003028838200000
0.026699157	0.151424460	0.003028489200000
0.026705207	0.151407300	0.003028146000000
0.026711362	0.151389860	0.003027797200000
0.026717516	0.151372420	0.003027448400000
0.026723670	0.151354990	0.003027099800000
0.026729824	0.151337570	0.003026751400000
0.026735979	0.151320150	0.003026403000000
0.026742134	0.151302730	0.003026054600000
0.026748288	0.151285330	0.003025706600000
0.026754443	0.151267930	0.003025358600000
0.026760597	0.151250530	0.003025010600000
0.026766855	0.151232850	0.003024657000000
0.026773009	0.151215470	0.003024309400000
0.026779165	0.151198090	0.003023961800000
0.026785320	0.151180720	0.003023614400000
0.026791474	0.151163350	0.003023267000000
0.026797628	0.151145990	0.003022919800000
0.026803782	0.151128640	0.003022572800000
0.026810041	0.151111000	0.003022220000000
0.026816195	0.151093660	0.003021873200000
0.026822350	0.151076320	0.003021526400000
0.026828505	0.151058990	0.003021179800000
0.026834659	0.151041670	0.003020833400000
0.026840918	0.151024060	0.003020481200000
0.026847072	0.151006750	0.003020135000000
0.026853226	0.150989450	0.003019789000000
0.026859485	0.150971860	0.003019437200000
0.026865640	0.150954560	0.003019091200000
0.026871795	0.150937270	0.003018745400000
0.026878053	0.150919700	0.003018394000000
0.026884208	0.150902420	0.003018048400000
0.026890362	0.150885160	0.003017703200000
0.026896620	0.150867600	0.003017352000000
0.026902774	0.150850340	0.003017006800000
0.026908930	0.150833090	0.003016661800000
0.026915189	0.150815550	0.003016311000000
0.026921343	0.150798310	0.003015966200000
0.026927497	0.150781080	0.003015621600000
0.026933756	0.150763560	0.003015271200000
0.026940014	0.150746050	0.003014921000000
0.026946169	0.150728830	0.003014576600000
0.026952324	0.150711620	0.003014232400000
0.026958583	0.150694120	0.003013882400000
0.026964841	0.150676640	0.003013532800000
0.026970996	0.150659440	0.003013188800000
0.026977150	0.150642260	0.003012845200000
0.026983408	0.150624790	0.003012495800000
0.026989668	0.150607320	0.003012146400000
0.026995823	0.150590150	0.003011803000000
0.027001977	0.150572990	0.003011459800000
0.027008236	0.150555540	0.003011110800000
0.027014494	0.150538100	0.003010762000000
0.027020752	0.150520670	0.003010413400000
0.027027011	0.150503240	0.003010064800000
0.027033166	0.150486110	0.003009722200000
0.027039321	0.150468980	0.003009379600000
0.027045580	0.150451570	0.003009031400000
0.027051838	0.150434160	0.003008683200000
0.027058097	0.150416770	0.003008335400000
0.027064355	0.150399370	0.003007987400000
0.027070509	0.150382280	0.003007645600000
0.027076664	0.150365180	0.003007303600000
0.027082924	0.150347810	0.003006956200000
0.027089182	0.150330440	0.003006608800000
